sku,name,brand,gender,colorways,sizes,image_url,description,marketing_pdf_url,price,stock_quantity,warehouse_location
HF6414-300,Nike Vaporfly 4,Nike,Men,Green/White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/vaporfly-4.png",Fast and efficient racing shoe.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/HF6414-300.pdf,270.00,53,WH-WEST-2
FN8454-300,Nike Zoom Fly 6,Nike,Men,Green/Black,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/zoom-fly-6.png",High-performance trainer and racer.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/FN8454-300.pdf,180.00,148,WH-EAST-1
HF6416-300,Nike Streakfly 2,Nike,Men,Green/Orange,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/streakfly-2.png",Lightweight racer for shorter distances.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/HF6416-300.pdf,170.00,348,WH-WEST-2
IM2509-100,Nike Dragonfly XC 2,Nike,Men,White/Red,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/dragonfly-xc-2.png",Performance spikes for cross country.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/IM2509-100.pdf,160.00,66,WH-EAST-1
II7399-100,Nike Zoom Rival XC 7,Nike,Men,White/Blue,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/zoom-rival-xc-7.png",Versatile spikes for cross country racing.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/II7399-100.pdf,75.00,239,WH-EAST-1
FV3929-103,Nike Kiger 10,Nike,Men,White/Orange,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/kiger-10.png",Fast and light trail shoe.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/FV3929-103.pdf,150.00,189,WH-MIDWEST-1
FV2338-103,Nike Wildhorse 10,Nike,Men,White/Grey,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/wildhorse-10.png",Durable trail shoe for rugged runs.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/FV2338-103.pdf,140.00,159,WH-WEST-2
6014417,UA Charged+ Chase,Under Armour,Men,Gray/White/Black,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6014417.png,New men's running shoe with Charged cushioning.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6014417.pdf,85.00,82,WH-EAST-1
6006723,UA Charged+ Assert 11,Under Armour,Men,Black/White,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6006723.png,Lightweight and durable running shoe.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6006723.pdf,75.00,242,WH-EAST-1
6006030,UA Velociti Distance,Under Armour,Men,White/Blue/Black,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6006030.png,Performance running shoe for long distances.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6006030.pdf,160.00,299,WH-MIDWEST-1
6007639,UA Halo Racer,Under Armour,Men,Blue/Black/White,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6007639.png,Speed-focused racing shoe.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6007639.pdf,170.00,134,WH-EAST-1
6013582,UA Charged+ Assert 11 Camo,Under Armour,Men,Black Camo,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6013582.png,Camo version of the Assert 11.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6013582.pdf,78.00,135,WH-WEST-2
6006725,UA Charged+ Assert 11 Wide (4E),Under Armour,Men,Black,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6006725.png,Wide fit version of the Assert 11.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6006725.pdf,75.00,280,WH-EAST-1
6000007,UA Velociti SPD 5,Under Armour,Men,Gray,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6000007.png,High-speed training shoe.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6000007.pdf,130.00,268,WH-WEST-2
6009107,UA Velociti Pace,Under Armour,Men,White/Green,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6009107.png,Versatile pace training shoe.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6009107.pdf,100.00,65,WH-WEST-2
6008994,UA Halo Runner SE,Under Armour,Men,Green/Black,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6008994.png,Special Edition Halo Runner.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6008994.pdf,140.00,335,WH-MIDWEST-1
3026501,UA Charged Gemini,Under Armour,Men,White/Gray,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/3026501.png,Dual-layer cushioning for extra comfort.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3026501.pdf,98.97,340,WH-EAST-1
6005287,UA Halo Runner,Under Armour,Men,White/Black,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6005287.png,Original Halo Runner for daily training.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6005287.pdf,125.97,333,WH-WEST-2
6005377,Velociti Elite 3,Under Armour,Men,Green/Volt,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/6005377.png,Elite racing shoe with carbon plate.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/6005377.pdf,250.00,261,WH-MIDWEST-1
3026175,UA Charged Assert 10,Under Armour,Men,Blue/Black,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/3026175.png,Classic reliable running trainer.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3026175.pdf,69.97,293,WH-MIDWEST-1
3021235,UA Micro G Pursuit,Under Armour,Men,Black/White,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/3021235.png,Lightweight and breathable pursuit shoe.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3021235.pdf,60.00,61,WH-MIDWEST-1
3026519,UA HOVR Phantom 3 SE,Under Armour,Men,Gray/White,"7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",https://underarmour.scene7.com/is/image/UnderArmour/3026519.png,Responsive HOVR cushioning for a smooth ride.,https://storage.googleapis.com/dsg-vip-customer-demo-dsg-data/marketing/3026519.pdf,140.00,156,WH-EAST-1
